collect_year,instititution_name,degree,degree_description,count
2015,BSU,40,Bachelors,801
2015,BSU,60,Masters,304
2015,CSU,40,Bachelors,416
2015,CSU,60,Masters,75
2015,FSU,40,Bachelors,1032
2015,FSU,60,Masters,235
2015,SU,40,Bachelors,1935
2015,SU,60,Masters,262
2015,TU,40,Bachelors,4422
2015,TU,60,Masters,1097
2015,UB,40,Bachelors,694
2015,UB,60,Masters,504
2015,UMB,40,Bachelors,333
2015,UMB,60,Masters,845
2015,UMBC,40,Bachelors,2432
2015,UMBC,60,Masters,694
2015,UMCP,40,Bachelors,7166
2015,UMCP,60,Masters,2562
2015,UMES,40,Bachelors,577
2015,UMES,60,Masters,46
2015,UMGC,40,Bachelors,5240
2015,UMGC,60,Masters,3710
2016,BSU,40,Bachelors,832
2016,BSU,60,Masters,337
2016,CSU,40,Bachelors,464
2016,CSU,60,Masters,77
2016,FSU,40,Bachelors,964
2016,FSU,60,Masters,217
2016,SU,40,Bachelors,1982
2016,SU,60,Masters,272
2016,TU,40,Bachelors,4428
2016,TU,60,Masters,974
2016,UB,40,Bachelors,721
2016,UB,60,Masters,523
2016,UMB,40,Bachelors,399
2016,UMB,60,Masters,887
2016,UMBC,40,Bachelors,2521
2016,UMBC,60,Masters,666
2016,UMCP,40,Bachelors,7253
2016,UMCP,60,Masters,2836
2016,UMES,40,Bachelors,574
2016,UMES,60,Masters,89
2016,UMGC,40,Bachelors,5638
2016,UMGC,60,Masters,3669
2017,BSU,40,Bachelors,713
2017,BSU,60,Masters,313
2017,CSU,40,Bachelors,421
2017,CSU,60,Masters,78
2017,FSU,40,Bachelors,1060
2017,FSU,60,Masters,268
2017,SU,40,Bachelors,2026
2017,SU,60,Masters,308
2017,TU,40,Bachelors,4628
2017,TU,60,Masters,920
2017,UB,40,Bachelors,755
2017,UB,60,Masters,561
2017,UMB,40,Bachelors,416
2017,UMB,60,Masters,827
2017,UMBC,40,Bachelors,2572
2017,UMBC,60,Masters,631
2017,UMCP,40,Bachelors,7292
2017,UMCP,60,Masters,2829
2017,UMES,40,Bachelors,514
2017,UMES,60,Masters,50
2017,UMGC,40,Bachelors,5883
2017,UMGC,60,Masters,3780
2018,BSU,40,Bachelors,781
2018,BSU,60,Masters,245
2018,CSU,40,Bachelors,399
2018,CSU,60,Masters,74
2018,FSU,40,Bachelors,1027
2018,FSU,60,Masters,221
2018,SU,40,Bachelors,1872
2018,SU,60,Masters,323
2018,TU,40,Bachelors,4609
2018,TU,60,Masters,906
2018,UB,40,Bachelors,711
2018,UB,60,Masters,533
2018,UMB,40,Bachelors,433
2018,UMB,60,Masters,921
2018,UMBC,40,Bachelors,2578
2018,UMBC,60,Masters,665
2018,UMCP,40,Bachelors,7559
2018,UMCP,60,Masters,2929
2018,UMES,40,Bachelors,482
2018,UMES,60,Masters,52
2018,UMGC,40,Bachelors,6206
2018,UMGC,60,Masters,4638
2019,BSU,40,Bachelors,826
2019,BSU,60,Masters,252
2019,CSU,40,Bachelors,378
2019,CSU,60,Masters,66
2019,FSU,40,Bachelors,1078
2019,FSU,60,Masters,208
2019,SU,40,Bachelors,1805
2019,SU,60,Masters,323
2019,TU,40,Bachelors,4619
2019,TU,60,Masters,887
2019,UB,40,Bachelors,615
2019,UB,60,Masters,436
2019,UMB,40,Bachelors,438
2019,UMB,60,Masters,894
2019,UMBC,40,Bachelors,2658
2019,UMBC,60,Masters,624
2019,UMCP,40,Bachelors,7768
2019,UMCP,60,Masters,2769
2019,UMES,40,Bachelors,508
2019,UMES,60,Masters,53
2019,UMGC,40,Bachelors,6346
2019,UMGC,60,Masters,4456
